Day fraction since midnight on 	DO probe (mg/L)	 (volts)
0.6271242889	6.9620103836	-0.7994216084
start
0.6271821676	6.9766426086	-0.7981956005
0.6272400488	6.9524340630	-0.8002240062
0.6272979083	6.9083147049	-0.8039206862
0.6273557659	6.5353264809	-0.8351726532
0.6274136512	6.0175604820	-0.8785552979
0.6274715100	5.3679461479	-0.9329852462
0.6275293930	4.5553021431	-1.0010751486
0.6275872577	3.8470258713	-1.0604202747
0.6276451160	3.2098712921	-1.1138062477
0.6277030280	2.6641125679	-1.1595343351
0.6277608607	2.1977632046	-1.1986088753
0.6278187392	1.7949819565	-1.2323571444
0.6278766146	1.4620193243	-1.2602554560
0.6279344856	1.1749629974	-1.2843073606
0.6279923420	0.9240415692	-1.3053315878
0.6280502073	0.7100604177	-1.3232606649
0.6281080882	0.5218394995	-1.3390313387
0.6281659600	0.3739477694	-1.3514229059
0.6282238230	0.2653366625	-1.3605232239
0.6282816979	0.1990494430	-1.3660773039
0.6283395567	0.1705674678	-1.3684637547
0.6283974371	0.1421566308	-1.3708442450
0.6284553100	0.1118663400	-1.3733822107
0.6285131620	0.0948218331	-1.3748103380
0.6285710501	0.0949868709	-1.3747965097
0.6286289088	0.0926507190	-1.3749922514
0.6286867837	0.0858101472	-1.3755654097
0.6287446406	0.0911852866	-1.3751150370
0.6288025088	0.0969104245	-1.3746353388
0.6288603979	0.1039259881	-1.3740475178
0.6289182596	0.1142608225	-1.3731815815
0.6289761331	0.1235855073	-1.3724002838
0.6290340087	0.1553440690	-1.3697392941
0.6290918592	0.2057420462	-1.3655165434
0.6291497433	0.2483334094	-1.3619478941
0.6292076184	0.2945812345	-1.3580728769
0.6292654751	0.3471218646	-1.3536705971
0.6293233537	0.4003454149	-1.3492110968
0.6293812162	0.4620243311	-1.3440431356
0.6294390862	0.5189442039	-1.3392739296
0.6294969895	0.5793426633	-1.3342132568
0.6295548375	0.6293621659	-1.3300222158
0.6296126898	0.6928693652	-1.3247010708
0.6296705643	0.7622083426	-1.3188912868
0.6297284357	0.8366322517	-1.3126554489
0.6297863064	0.9059612751	-1.3068464994
0.6298441900	0.9729826450	-1.3012309074
0.6299020490	1.0446535349	-1.2952257395
0.6299599428	1.1188611984	-1.2890080214
0.6300177943	1.1937005520	-1.2827373743
0.6300756644	1.2627720833	-1.2769500017
0.6301335218	1.3268398046	-1.2715818882
0.6301914113	1.4096848965	-1.2646404505
0.6302492811	1.4667384624	-1.2598600388
0.6303071439	1.5370094776	-1.2539721727
0.6303650132	1.6156375408	-1.2473840714
0.6304228839	1.6941561699	-1.2408051491
0.6304807406	1.7728326321	-1.2342129946
0.6305386138	1.8461368084	-1.2280709743
0.6305964956	1.9134029150	-1.2224348783
0.6306543725	1.9715776443	-1.2175605297
0.6307122332	2.0355100632	-1.2122037411
0.6307701059	2.1087801456	-1.2060645819
0.6308279696	2.1861634254	-1.1995807886
0.6308858430	2.2559776306	-1.1937311888
0.6309437073	2.3267252445	-1.1878033876
0.6310015910	2.3887341022	-1.1826077700
0.6310594503	2.4526681900	-1.1772508621
0.6311173205	2.5258600712	-1.1711182594
0.6311751952	2.5875260830	-1.1659513712
0.6312330640	2.6509549618	-1.1606367826
0.6312909366	2.7101783752	-1.1556745768
0.6313488112	2.7709295750	-1.1505843401
0.6314066618	2.8250067234	-1.1460533142
0.6314645316	2.8921818733	-1.1404248476
0.6315224216	2.9573976994	-1.1349605322
0.6315802713	3.0242569447	-1.1293585300
0.6316381572	3.0920250416	-1.1236803532
0.6316960118	3.1578712463	-1.1181632280
0.6317538872	3.2049913406	-1.1142151356
0.6318117709	3.2700819969	-1.1087613106
0.6318696409	3.3321392536	-1.1035616398
0.6319275049	3.3822300434	-1.0993646383
0.6319853858	3.4414348602	-1.0944039822
0.6320432545	3.5079395771	-1.0888316631
0.6321011027	3.5584840775	-1.0845966339
0.6321589947	3.6048927307	-1.0807081461
0.6322168572	3.6452474594	-1.0773268938
0.6322747470	3.6911084652	-1.0734843016
0.6323325999	3.7457931042	-1.0689023733
0.6323904671	3.7865605354	-1.0654865503
0.6324483365	3.8435187340	-1.0607141256
0.6325062138	3.8885045052	-1.0569448471
0.6325640710	3.9208436012	-1.0542352200
0.6326219449	3.9648520947	-1.0505478382
0.6326798158	4.0179433823	-1.0460994244
0.6327376992	4.0713376999	-1.0416256189
0.6327955506	4.1282362938	-1.0368582010
0.6328534134	4.1557350159	-1.0345541239
0.6329113292	4.1855669022	-1.0320545435
0.6329691652	4.2450265884	-1.0270725489
0.6330270279	4.2990484238	-1.0225461721
0.6330848968	4.3432087898	-1.0188460350
0.6331427665	4.3948788643	-1.0145167112
0.6332006438	4.4416713715	-1.0105960369
0.6332585442	4.4870128632	-1.0067969561
0.6333163888	4.5222287178	-1.0038462877
0.6333742509	4.5581974983	-1.0008325577
0.6334321286	4.6036272049	-0.9970260859
0.6334899917	4.6464524269	-0.9934378266
0.6335478615	4.6939706802	-0.9894563556
0.6336057246	4.7256875038	-0.9867988825
0.6336636142	4.7508535385	-0.9846902490
0.6337214713	4.7752404213	-0.9826469421
0.6337793361	4.8117551804	-0.9795874357
0.6338372198	4.8466715813	-0.9766618609
0.6338950763	4.8791537285	-0.9739402533
0.6339529496	4.9282665253	-0.9698251486
0.6340108218	4.9672541618	-0.9665584564
0.6340687104	4.9928588867	-0.9644131064
0.6341265639	5.0325646400	-0.9610862136
0.6341844281	5.0600280762	-0.9587851167
0.6342423195	5.0877757072	-0.9564601779
0.6343001690	5.1089978218	-0.9546820521
0.6343580408	5.1488366127	-0.9513440132
0.6344159146	5.1850099564	-0.9483131170
0.6344738019	5.2212915421	-0.9452731609
0.6345316617	5.2651271820	-0.9416002631
0.6345895258	5.3188662529	-0.9370975494
0.6346473981	5.3412718773	-0.9352202415
0.6347052664	5.3729043007	-0.9325698018
0.6347631524	5.4032936096	-0.9300235510
0.6348210140	5.4253325462	-0.9281769395
0.6348788799	5.4563755989	-0.9255759120
0.6349367454	5.4867329597	-0.9230323434
0.6349946412	5.5173764229	-0.9204647541
0.6350525005	5.5571165085	-0.9171350002
0.6351103895	5.5880260468	-0.9145451784
0.6351682374	5.6073541641	-0.9129257202
0.6352261025	5.6404356956	-0.9101538658
0.6352839626	5.6599144936	-0.9085217714
0.6353418472	5.6709876060	-0.9075939655
0.6353997198	5.6866798401	-0.9062791467
0.6354575843	5.7243785858	-0.9031204581
0.6355154615	5.7638235092	-0.8998154402
0.6355733273	5.7965259552	-0.8970753551
0.6356311986	5.8249268532	-0.8946956992
0.6356890743	5.8536920547	-0.8922855258
0.6357469307	5.8917932510	-0.8890931010
0.6358048146	5.9164400101	-0.8870279789
0.6358626833	5.9469289780	-0.8844733834
0.6359205334	5.9732894897	-0.8822646737
0.6359784220	5.9867439270	-0.8811373711
0.6360362938	5.9918541908	-0.8807091713
0.6360941518	6.0316920280	-0.8773712516
0.6361520277	6.0747141838	-0.8737664819
0.6362099018	6.0914645195	-0.8723630309
0.6362677693	6.1057586670	-0.8711653352
