Day fraction since midnight on 	photometer (cm)	 (volts)
0.6211116410	3.4619421959	1.1687489748
0.6211695066	3.4611880779	1.1690579653
start
0.6212273695	3.4702889919	1.1694940329
0.6212852351	3.2722527981	1.1698725224
0.6213431136	1.9702947140	1.1701655388
0.6214009931	1.4460035563	1.1706829071
0.6214588623	1.5499055386	1.1710280180
0.6215167244	1.5997633934	1.1715610027
0.6215745847	1.6635485888	1.1719344854
0.6216324760	2.3831369877	1.1724286079
0.6216903381	1.4947746992	1.1726330519
0.6217482130	1.1228671074	1.1729210615
0.6218060785	1.1415897608	1.1730486155
0.6218639494	1.1504967213	1.1733021736
0.6219218135	1.1461129189	1.1736170053
0.6219796991	1.1441460848	1.1740871668
0.6220375538	1.1571935415	1.1743919849
0.6220954229	2.7744705677	1.1748259068
0.6221533042	7.2995090485	1.1751700640
0.6222111802	7.5058689117	1.1753187180
0.6222690360	7.5107836723	1.1753908396
0.6223269037	7.3804216385	1.1755758524
0.6223847871	7.1962528229	1.1758644581
0.6224426528	7.2888827324	1.1759210825
0.6225005296	8.5526313782	1.1761679649
0.6225583893	10.8578348160	1.1760975122
0.6226162726	9.8658285141	1.1764785051
0.6226741406	8.4569120407	1.1767066717
0.6227320013	8.3078250885	1.1770193577
0.6227898945	7.0436220169	1.1767643690
0.6228477369	3.7457466125	1.1773189306
0.6229056149	3.9515111446	1.1775639057
0.6229634813	7.8650531769	1.1782120466
0.6230213341	5.1391887665	1.1785166264
0.6230792369	7.6147756577	1.1788010597
0.6231371081	7.8545041084	1.1790680885
0.6231949671	8.4521160126	1.1795035601
0.6232528368	9.1738624573	1.1799318790
0.6233107054	10.7579383850	1.1801847219
0.6233685889	12.5107898712	1.1804072857
0.6234264511	14.3395967484	1.1806688309
0.6234843335	15.9204444885	1.1809458733
0.6235421887	17.6107921600	1.1812537909
0.6236000738	19.3379249573	1.1815361977
0.6236579347	21.1232872009	1.1819882393
0.6237158143	22.7425498962	1.1823189259
0.6237736795	24.2725791931	1.1827498674
0.6238315374	25.6419391632	1.1830831766
0.6238894278	26.9429359436	1.1834179163
0.6239472893	28.0573043823	1.1836167574
0.6240051594	29.1053524017	1.1837698221
0.6240630367	29.9934635162	1.1840623617
0.6241209109	31.7256011963	1.1844016314
0.6241787826	31.9691791534	1.1848715544
0.6242366362	32.7134895325	1.1850553751
0.6242945111	34.1842231750	1.1853132248
0.6243523925	34.9123611450	1.1854420900
0.6244102510	35.3277282715	1.1853972673
0.6244681264	35.7144470215	1.1854994297
0.6245259895	35.3532371521	1.1856044531
0.6245838614	35.5677528381	1.1857093573
0.6246417427	35.7976913452	1.1857852936
0.6246996138	36.2103919983	1.1860057116
0.6247574729	36.4126625061	1.1860581636
0.6248153541	36.5525741577	1.1861457825
0.6248732289	36.6689186096	1.1861662865
0.6249310930	36.7990951538	1.1865204573
0.6249889524	37.0840072632	1.1867197752
0.6250468337	37.0638275146	1.1869217157
0.6251046969	38.5249481201	1.1871583462
0.6251625799	36.9635009766	1.1873514652
0.6252204410	37.9130706787	1.1875396967
0.6252783001	36.9955291748	1.1877847910
0.6253361807	36.8015594482	1.1880061626
0.6253940653	37.6561088562	1.1883447170
0.6254519181	36.5082664490	1.1885000467
0.6255098027	36.6651039124	1.1888256073
0.6255676567	38.6698951721	1.1889665127
0.6256255464	36.5684661865	1.1892585754
0.6256834154	37.9500617981	1.1894361973
0.6257412691	38.1334571838	1.1895183325
0.6257991536	38.1836013794	1.1889692545
0.6258570274	38.2223548889	1.1890344620
0.6259148958	38.2516174316	1.1892559528
0.6259727606	38.2407188416	1.1895314455
0.6260306398	37.2567558289	1.1900510788
0.6260884927	37.8068504333	1.1902611256
0.6261463751	37.1710815430	1.1907137632
0.6262042380	37.8378067017	1.1908159256
0.6262621195	38.5556259155	1.1910583973
0.6263199898	38.4925689697	1.1914160252
0.6263778436	38.4684066772	1.1914842129
0.6264357364	38.4726219177	1.1914142370
0.6264935907	38.4852066040	1.1912871599
0.6265514692	38.4903106689	1.1912434101
0.6266093251	38.5041732788	1.1914449930
0.6266672090	38.5786285400	1.1916470528
0.6267250676	38.4000930786	1.1916961670
0.6267829419	38.6865615845	1.1918728352
0.6268408139	38.7578659058	1.1919952631
0.6268986964	38.7650260925	1.1919605732
0.6269565554	38.7615242004	1.1921061277
0.6270144259	38.7645301819	1.1922440529
0.6270723022	38.7674522400	1.1924284697
0.6271301638	38.7978820801	1.1925947666
0.6271880411	40.8208999634	1.1927548647
0.6272459021	40.3811683655	1.1929388046
0.6273037743	40.5568504333	1.1930401325
0.6273616503	40.8012619019	1.1930464506
0.6274195355	40.7221145630	1.1931573153
0.6274773982	40.7214813232	1.1932303905
0.6275352704	40.6771507263	1.1931931973
0.6275931451	39.3134689331	1.1933307648
0.6276510156	41.3804054260	1.1934379339
0.6277088839	41.1225395203	1.1935175657
0.6277667591	41.3192558289	1.1936004162
0.6278246101	41.9588279724	1.1933412552
0.6278824839	42.8260688782	1.1934843063
0.6279403665	42.3627853394	1.1935303211
0.6279982239	43.1068992615	1.1935384274
0.6280561007	42.9004936218	1.1934757233
0.6281139698	42.7738761902	1.1935805082
0.6281718374	43.4495391846	1.1936428547
0.6282297150	42.5242233276	1.1936316490
0.6282875875	43.5465660095	1.1935309172
0.6283454615	43.4220924377	1.1936407089
0.6284033167	43.6290321350	1.1937419176
0.6284611916	44.4312820435	1.1938427687
0.6285190758	41.0724067688	1.1940521002
0.6285769367	40.2788925171	1.1942880154
0.6286348172	40.0540809631	1.1943128109
